Concept,paragraph,definitions,similarity,Verbe,noed_connected,key_list
datum analysis,"datum analysis technique that can be use during this process include but be not limit to : 
  risk datum quality assessment . risk datum quality assessment evaluate the degree to which the datum about 
 individual project risk be accurate and reliable as a basis for qualitative risk analysis . the use of low - quality 
 risk datum may lead to a qualitative risk analysis that be of little use to the project . if datum quality be unacceptable , 
 it may be necessary to gather well datum . risk datum quality may be assess via a questionnaire measure 
 the project ’s stakeholder perception of various characteristic , which may include completeness , objectivity , 
 relevancy , and timeliness . a weighted average of select datum quality characteristic can then be generate to 
 give an overall quality score . 
  risk probability and impact assessment . risk probability assessment consider the likelihood that a specific 
 risk will occur . risk impact assessment consider the potential effect on one or more project objective such 
 as schedule , cost , quality , or performance . impact will be negative for threat and positive for opportunity . 
 probability and impact be assess for each identify individual project risk . risk can be assess in 
 interview or meeting with participant select for their familiarity with the type of risk record in the 
 risk register . project team member and knowledgeable person external to the project be include . the level 
 of probability for each risk and its impact on each objective be evaluate during the interview or meeting . 
 difference in the level of probability and impact perceive by stakeholder be to be expect , and such 
 difference should be explore . explanatory detail , include assumption justify the level assign , be 
 also record . risk probability and impact be assess use the definition give in the risk management 
 plan ( see table 11 - 1 ) . risk with low probability and impact may be include within the risk register as part 
 of a watch list for future monitoring . 
  assessment of other risk parameter . the project team may consider other characteristic of risk ( in addition 
 to probability and impact ) when prioritize individual project risk for further analysis and action . these 
 characteristic may include but be not limit to : 
  urgency . the period of time within which a response to the risk be to be implement in order to be effective . 
 a short period indicate high urgency . 
  proximity . the period of time before the risk might have an impact on one or more project objective . a short 
 period indicate high proximity . 
  dormancy . the period of time that may elapse after a risk have occur before its impact be discover . a 
 short period indicate low dormancy . 
  manageability . the ease with which the risk owner ( or own organization ) can manage the occurrence or 
 impact of a risk . where management be easy , manageability be high . 
  controllability . the degree to which the risk owner ( or own organization ) be able to control the risk ’s 
 outcome . where the outcome can be easily control , controllability be high . 
  detectability . the ease with which the result of the risk occur , or be about to occur , can be detect 
 and recognize . where the risk occurrence can be detect easily , detectability be high . 
  connectivity . the extent to which the risk be relate to other individual project risk . where a risk be connect 
 to many other risk , connectivity be high . 
  strategic impact . the potential for the risk to have a positive or negative effect on the organization ’s strategic 
 goal . where the risk have a major effect on strategic goal , strategic impact be high . 
  propinquity . the degree to which a risk be perceive to matter by one or more stakeholder . where a risk be 
 perceive as very significant , propinquity be high . 
 the consideration of some of these characteristic can provide a more robust prioritization of risk than be possible 
 by only assess probability and impact . 
 ",risk management,"['datum analysis', 'datum analysis', 'datum analysis']",be,"['datum analysis', 'datum analysis', 'datum analysis']","['assess', 'risk', 'assessment', 'questionnaire', 'stakeholder']"
interpersonal and team skill,"interpersonal and team skill that can be use for this process include but be not limit to facilitation ( see section 
 4.1.2.3 ) . facilitation improve the effectiveness of the qualitative analysis of individual project risk . a skilled facilitator 
 can help participant remain focused on the risk analysis task , follow the method associate with the technique 
 accurately , reach consensus on assessment of probability and impact , identify and overcome source of bias , and 
 resolve any disagreement that may arise . 
 ",facilitation,"['interpersonal and team skill', 'interpersonal and team skill', 'interpersonal and team skill', 'interpersonal and team skill']",be,"['interpersonal and team skill', 'interpersonal and team skill', 'interpersonal and team skill']","['facilitation', 'facilitator', 'risk', 'skill', 'qualitative']"
risk categorization,"risk to the project can be categorize by source of risk ( e.g. , use the risk breakdown structure ( rbs ) ; see 
 figure 11 - 4 ) , the area of the project affect ( e.g. , use the work breakdown structure ( wb ) ; see figure 5 - 12 , 
 5 - 13 , and 5 - 14 ) , or other useful category ( e.g. , project phase , project budget , and role and responsibility ) to 
 determine the area of the project most expose to the effect of uncertainty . risk can also be categorize by 
 common root cause . risk category that may be use for the project be define in the risk management plan . 
 grouping risk into category can lead to the development of more effective risk response by focus attention and 
 effort on the area of high risk exposure , or by develop generic risk response to address group of related risk . 
 ",common root cause,[],be,"['plan risk management', 'risk management plan', 'identify risk']","['risk', 'categorize', 'development', 'project', 'develop']"
datum representation,"datum representation technique that can be use during this process include but be not limit to : 
  probability and impact matrix . a probability and impact matrix be a grid for map the probability of each 
 risk occurrence and its impact on project objective if that risk occur . this matrix specify combination of 
 probability and impact that allow individual project risk to be divide into priority group ( see figure 11 - 5 ) . risk 
 can be prioritize for further analysis and planning of risk response base on their probability and impact . 
 the probability of occurrence for each individual project risk be assess as well as its impact on one or more 
 project objective if it do occur , use definition of probability and impact for the project as specify in the 
 risk management plan . individual project risk be assign to a priority level base on the combination of their 
 assess probability and impact , use a probability and impact matrix . 
 an organization can assess a risk separately for each objective ( e.g. , cost , time , and scope ) by have a separate 
 probability and impact matrix for each . alternatively , it may develop way to determine one overall priority level 
 for each risk , either by combine assessment for different objective , or by take the high priority level 
 regardless of which objective be affect . 
  hierarchical chart . where risk have be categorize use more than two parameter , the probability and 
 impact matrix can not be use and other graphical representation be require . for example , a bubble chart display 
 three dimension of datum , where each risk be plot as a disk ( bubble ) , and the three parameter be represent 
 by the x - axis value , the y - axis value , and the bubble size . an example bubble chart be show in figure 11 - 10 , with 
 detectability and proximity plot on the x and y axis , and impact value represent by bubble size . 
 figure 11 - 10 . example bubble chart show detectability , proximity , and impact val 
 ",three dimension,[],be,"['datum representation', 'representation of uncertainty', 'plan risk response']","['prioritize', 'risk', 'priority', 'hierarchical', 'planning']"
meeting,"to undertake qualitative risk analysis , the project team may conduct a specialized meeting ( often call a risk 
 workshop ) dedicate to the discussion of identify individual project risk . the goal of this meeting include the review 
 of previously identify risk , assessment of probability and impact ( and possibly other risk parameter ) , categorization , 
 and prioritization . a risk owner , who will be responsible for plan an appropriate risk response and for report 
 progress on manage the risk , will be allocate to each individual project risk as part of the perform qualitative risk 
 analysis process . the meeting may start by review and confirm the probability and impact scale to be use for 
 the analysis . the meeting may also identify additional risk during the discussion , and these should be record for 
 analysis . use of a skilled facilitator will increase the effectiveness of the meeting . 
 ","a risk 
 workshop","['meeting', 'meeting', 'meeting']",be,"['meeting', 'meeting', 'meeting']","['risk', 'qualitative', 'workshop', 'meeting', 'facilitator']"
project document update,"project document that may be update as a result of carry out this process include but be not limit to : 
  assumption log . describe in section 4.1.3.2 . during the perform qualitative risk analysis process , new 
 assumption may be make , new constraint may be identify , and exist assumption or constraint may be 
 revisit and change . the assumption log should be update with this new information . 
  issue log . describe in section 4.3.3.3 . the issue log should be update to capture any new issue uncover 
 or change in currently log issue . 
  risk register . describe in section 11.2.3.1 . the risk register be update with new information generate during 
 the perform qualitative risk analysis process . update to the risk register may include assessment of probability 
 and impact for each individual project risk , its priority level or risk score , the nominate risk owner , risk urgency 
 information or risk categorization , and a watch list for low - priority risk or risk require further analysis . 
  risk report . describe in section 11.2.3.2 . the risk report be update to reflect the most important individual 
 project risk ( usually those with the high probability and impact ) , as well as a prioritize list of all identify 
 risk on the project and a summary conclusion . 
 ",assumption log,"['project document', 'project document', 'project document update', 'project document', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update']",be,"['project document update', 'project document update', 'project document update']","['risk', 'qualitative', 'assessment', 'prioritize', 'analysis']"
perform quantitative risk analysis,"perform quantitative risk analysis be the process of numerically analyze the combine effect of identify individual 
 project risk and other source of uncertainty on overall project objective . the key benefit of this process be that it 
 quantify overall project risk exposure , and it can also provide additional quantitative risk information to support risk 
 response planning . this process be not require for every project , but where it be use , it be perform throughout the 
 project . the input and output of this process be depict in figure 11 - 11 . figure 11 - 12 depict the data flow diagram 
 for the process . 
 perform 
 quantitative risk analysis 
 figure 11 - 11 . perform quantitative risk analysis : input , tool & technique , and output 
  
 charter 
 figure 11 - 12 . perform quantitative risk analysis : datum flow diagram 
 perform quantitative risk analysis be not require for all project . undertake a robust analysis depend on the availability 
 of high - quality datum about individual project risk and other source of uncertainty , as well as a sound underlie project 
 baseline for scope , schedule , and cost . quantitative risk analysis usually require specialized risk software and expertise 
 in the development and interpretation of risk model . it also consume additional time and cost . the use of quantitative 
 risk analysis for a project will be specify in the project ’s risk management plan . it be most likely appropriate for large or 
 complex project , strategically important project , project for which it be a contractual requirement , or project in which 
 a key stakeholder require it . quantitative risk analysis be the only reliable method to assess overall project risk through 
 evaluate the aggregated effect on project outcome of all individual project risk and other source of uncertainty . 
 perform quantitative risk analysis use information on individual project risk that have be assess by the 
 perform qualitative risk analysis process as have a significant potential to affect the project ’s objective . 
 output from perform quantitative risk analysis be use as input to the plan risk response process , particularly 
 in recommend response to the level of overall project risk and key individual risk . a quantitative risk analysis 
 may also be undertake follow the plan risk response process , to determine the likely effectiveness of plan 
 response in reduce overall project risk exposure . 
 ",plan risk response process,['perform qualitative risk analysis'],be,"['perform qualitative risk analysis', 'strategy for overall project risk', 'plan risk response']","['risk', 'project', 'development', 'analysis', 'uncertainty']"
project management plan,"describe in section 4.2.3.1 . project management plan component include but be not limit to : 
  risk management plan . describe in section 11.1.3.1 . the risk management plan specify whether quantitative 
 risk analysis be require for the project . it also detail the resource available for the analysis and the expect 
 frequency of analysis . 
  scope baseline . describe in section 5.4.3.1 . the scope baseline describe the starting point from which the 
 effect of individual project risk and other source of uncertainty be evaluate . 
  schedule baseline . describe in section 6.5.3.1 . the schedule baseline describe the starting point from which 
 the effect of individual project risk and other source of uncertainty can be evaluate . 
  cost baseline . describe in section 7.3.3.1 . the cost baseline describe the starting point from which the effect 
 of individual project risk and other source of uncertainty can be evaluate . 
 ",risk management plan,"['project management plan', 'project management plan', 'project management plan', 'project management plan', 'project management plan update', 'project management plan', 'project management plan', 'project management plan update']",be,"['risk management plan', 'project management plan', 'project management plan']","['baseline', 'risk', 'scope', 'uncertainty', 'analysis']"
project document,"project document that can be consider as input for this process include but be not limit to : 
  assumption log . describe in section 4.1.3.2 . assumption may form input to the quantitative risk analysis if 
 they be assess as pose a risk to project objective . the effect of constraint may also be model during a 
 quantitative risk analysis . 
  basis of estimate . describe in section 6.4.3.2 and 7.2.3.2 . the basis of estimate use in the planning of 
 the project may be reflect in variability model during a quantitative risk analysis process . this may include 
 information on the estimate ’s purpose , classification , assume accuracy , methodology , and source . 
  cost estimate . describe in section 7.2.3.1 . cost estimate provide the starting point from which cost variability 
 be evaluate . 
  cost forecast . describe in section 7.4.3.2 . forecast such as the project ’s estimate to complete ( etc ) , 
 estimate at completion ( eac ) , budget at completion ( bac ) , and to - complete performance index ( tcpi ) may be 
 compare to the result of a quantitative cost risk analysis to determine the confidence level associate with 
 achieve these target . 
  duration estimate . describe in section 6.4.3.1 . duration estimate provide the starting point from which 
 schedule variability be evaluate . 
  milestone list . describe in section 6.2.3.3 . significant event in the project define the schedule target against 
 which the result of a quantitative schedule risk analysis be compare , in order to determine the confidence 
 level associate with achieve these target . 
  resource requirement . describe in section 9.2.3.1 . resource requirement provide the starting point from 
 which variability be evaluate . 
  risk register . describe in section 11.2.3.1 . the risk register contain detail of individual project risk to be 
 use as input for quantitative risk analysis . 
  risk report . describe in section 11.2.3.2 . the risk report describe source of overall project risk and the 
 current overall project risk status . 
  schedule forecast . describe in section 6.6.3.2 . forecast may be compare to the result of a quantitative 
 schedule risk analysis to determine the confidence level associate with achieve these target . 
 ",assumption log,"['project document', 'project document', 'project document update', 'project document', 'project document update', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update']",be,"['risk report', 'risk register', 'perform qualitative risk analysis']","['estimate', 'budget', 'methodology', 'analysis', 'constraint']"
enterprise environmental factor,"the enterprise environmental factor that can influence the perform quantitative risk analysis process include but 
 be not limit to : 
  industry study of similar project , and 
  publish material , include commercial risk database or checklist . 
 ",industry study of similar project,"['enterprise environmental factor', 'enterprise environmental factor', 'enterprise environmental factor', 'enterprise environmental factor']",include,"['enterprise environmental factor', 'enterprise environmental factor', 'enterprise environmental factor']","['risk', 'environmental', 'enterprise', 'quantitative', 'analysis']"
organizational process asset,"the organizational process asset that can influence the perform quantitative risk analysis process include 
 information from similar complete project . 
 11.4.2 perform quantitative risk analysis : tool and technique 
 ","
 information from similar complete project","['organizational process asset', 'organizational process asset', 'organizational process asset', 'organizational process asset', 'organizational process asset']",influence,"['organizational process asset', 'organizational process asset', 'organizational process asset']","['risk', 'process', 'quantitative', 'analysis', 'organizational']"
expert judgment,"describe in section 4.1.2.1 . expertise should be consider from individual or group with specialized knowledge 
 or training in the follow topic : 
  translate information on individual project risk and other source of uncertainty into numeric input for the 
 quantitative risk analysis model , 
  select the most appropriate representation of uncertainty to model particular risk or other source of uncertainty , 
  model technique that be appropriate in the context of the project , 
  identify which tool would be most suitable for the select modeling technique , and 
  interpret the output of quantitative risk analysis . 
 ",specialized knowledge,"['expert judgment', 'expert judgment', 'expert judgment', 'expert judgment', 'expert judgment']",be,"['perform quantitative risk analysis', 'identify risk', 'datum representation']","['risk', 'uncertainty', 'expertise', 'modeling', 'knowledge']"
datum gathering,"interview ( see section 5.2.2.2 ) may be use to generate input for the quantitative risk analysis , draw on input 
 that include individual project risk and other source of uncertainty . this be particularly useful where information be 
 require from expert . the interviewer should promote an environment of trust and confidentiality during the interview 
 to encourage honest and unbiased contribution . 
 ",individual project risk and other source of uncertainty,"['datum gathering', 'datum gathering', 'datum gathering']",be,"['representation of uncertainty', 'expert judgment', 'expert judgment']","['interviewer', 'interview', 'risk', 'confidentiality', 'uncertainty']"
interpersonal and team skill,"interpersonal and team skill that can be use for this process include but be not limit to facilitation ( see 
 section 4.1.2.3 ) . a skilled facilitator be useful for gather input datum during a dedicated risk workshop involve 
 project team member and other stakeholder . facilitate workshop can improve effectiveness by establish a 
 clear understanding of the purpose of the workshop , build consensus among participant , ensure continue 
 focus on the task , and use creative approach to deal with interpersonal conflict or source of bias . 
 ",facilitation,"['interpersonal and team skill', 'interpersonal and team skill', 'interpersonal and team skill', 'interpersonal and team skill']",be,"['interpersonal and team skill', 'interpersonal and team skill', 'interpersonal and team skill']","['workshop', 'facilitation', 'facilitator', 'skill', 'facilitate']"
representation of uncertainty,"quantitative risk analysis require input to a quantitative risk analysis model that reflect individual project risk and 
 other source of uncertainty . 
 where the duration , cost , or resource requirement for a plan activity be uncertain , the range of possible value 
 can be represent in the model as a probability distribution . this may take several form . the most commonly use 
 be triangular , normal , lognormal , beta , uniform , or discrete distribution . care should be take when select an 
 appropriate probability distribution to reflect the range of possible value for the plan activity . 
 individual project risk may be cover by probability distribution . alternatively , risk may be include in the 
 model as probabilistic branch , where optional activity be add to the model to represent the time and/or cost 
 impact of the risk should it occur , and the chance that these activity actually occur in a particular simulation run 
 match the risk ’s probability . branch be most useful for risk that might occur independently of any plan 
 activity . where risk be relate , for example , with a common cause or a logical dependency , correlation be use in 
 the model to indicate this relationship . 
 other source of uncertainty may also be represent use branch to describe alternative path through 
 the project . 
 ",probability distribution,[],be,"['plan risk response', 'plan risk management', 'risk management plan']","['risk', 'uncertainty', 'probabilistic', 'project', 'quantitative']"
data analysis,"datum analysis technique that can be use during this process include but be not limit to : 
  simulation . quantitative risk analysis use a model that simulate the combine effect of individual project risk 
 and other source of uncertainty to evaluate their potential impact on achieve project objective . simulation 
 be typically perform use a monte carlo analysis . when run a monte carlo analysis for cost risk , the 
 simulation use the project cost estimate . when run a monte carlo analysis for schedule risk , the schedule 
 network diagram and duration estimate be use . an integrate quantitative cost - schedule risk analysis use 
 both input . the output be a quantitative risk analysis model . 
 computer software be use to iterate the quantitative risk analysis model several thousand time . the input 
 value ( e.g. , cost estimate , duration estimate , or occurrence of probabilistic branch ) be choose at random 
 for each iteration . output represent the range of possible outcome for the project ( e.g. , project end date , 
 project cost at completion ) . typical output include a histogram present the number of iteration where a 
 particular outcome result from the simulation , or a cumulative probability distribution ( s - curve ) represent 
 the probability of achieve any particular outcome or less . an example s - curve from a monte carlo cost risk 
 analysis be show in figure 11 - 13 . 
 figure 11 - 13 . example s - curve from quantitative cost risk analysis 
 for a quantitative schedule risk analysis , it be also possible to conduct a criticality analysis that determine which 
 element of the risk model have the great effect on the project critical path . a criticality index be calculate for 
 each element in the risk model , which give the frequency with which that element appear on the critical path 
 during the simulation , usually express as a percentage . the output from a criticality analysis allow the project 
 team to focus risk response planning effort on those activity with the high potential effect on the overall 
 schedule performance of the project . 
  sensitivity analysis . sensitivity analysis help to determine which individual project risk or other source of 
 uncertainty have the most potential impact on project outcome . it correlate variation in project outcome with 
 variation in element of the quantitative risk analysis model . 
 one typical display of sensitivity analysis be the tornado diagram , which present the calculate correlation 
 coefficient for each element of the quantitative risk analysis model that can influence the project outcome . 
 this can include individual project risk , project activity with high degree of variability , or specific source 
 of ambiguity . item be order by descend strength of correlation , give the typical tornado appearance . 
 an example tornado diagram be show in figure 11 - 14 . 
 figure 11 - 14 . example tornado diagram 
  decision tree analysis . decision tree be use to support selection of the good of several alternative course of 
 action . alternative path through the project be show in the decision tree use branch represent different 
 decision or event , each of which can have associate cost and related individual project risk ( include both 
 threat and opportunity ) . the end - point of branch in the decision tree represent the outcome from follow 
 that particular path , which can be negative or positive . 
 the decision tree be evaluate by calculate the expect monetary value of each branch , allow the optimal 
 path to be select . an example decision tree be show in figure 11 - 15 . 
 figure 11 - 15 . example decision tree 
  influence diagram . influence diagram be graphical aid to decision making under uncertainty . an influence 
 diagram represent a project or situation within the project as a set of entity , outcome , and influence , together 
 with the relationship and effect between they . where an element in the influence diagram be uncertain as a 
 result of the existence of individual project risk or other source of uncertainty , this can be represent in the 
 influence diagram use range or probability distribution . the influence diagram be then evaluate use a 
 simulation technique , such as monte carlo analysis , to indicate which element have the great influence 
 on key outcome . output from an influence diagram be similar to other quantitative risk analysis method , 
 include s - curve and tornado diagram . 
 ",simulation,['data analysis'],be,"['datum analysis', 'datum analysis', 'datum analysis']","['simulation', 'software', 'risk', 'project', 'planning']"
project document update,"project document that can be consider as output for this process include but be not limited to the risk report 
 describe in section 11.2.3.2 . the risk report will be update to reflect the result of the quantitative risk analysis . this 
 will typically include : 
  assessment of overall project risk exposure . overall project risk be reflect in two key measure : 
  chance of project success , indicate by the probability that the project will achieve its key objective ( e.g. , 
 require end date or interim milestone , require cost target , etc . ) give the identify individual project risk 
 and other source of uncertainty ; and 
  degree of inherent variability remain within the project at the time the analysis be conduct , indicate 
 by the range of possible project outcome . 
  detailed probabilistic analysis of the project . key output from the quantitative risk analysis be present , 
 such as s - curve , tornado diagram , and criticality analysis , together with a narrative interpretation of the result . 
 possible detailed result of a quantitative risk analysis may include : 
  amount of contingency reserve need to provide a specified level of confidence ; 
  identification of individual project risk or other source of uncertainty that have the great effect on the 
 project critical path ; and 
  major driver of overall project risk , with the great influence on uncertainty in project outcome . 
  prioritize list of individual project risk . this list include those individual project risk that pose the great 
 threat or present the great opportunity to the project , as indicate by sensitivity analysis . 
  trend in quantitative risk analysis result . as the analysis be repeat at different time during the project life 
 cycle , trend may become apparent that inform the planning of risk response . 
  recommend risk response . the risk report may present suggest response to the level of overall 
 project risk exposure or key individual project risk , base on the result of the quantitative risk analysis . these 
 recommendation will form input to the plan risk response process . 
 ",risk report,"['project document', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update']",be,"['strategy for overall project risk', 'risk report', 'perform qualitative risk analysis']","['risk', 'project', 'uncertainty', 'assessment', 'variability']"
plan risk response,"plan risk response be the process of develop option , select strategy , and agree on action to address 
 overall project risk exposure , as well as to treat individual project risk . the key benefit of this process be that it identify 
 appropriate way to address overall project risk and individual project risk . this process also allocate resource 
 and insert activity into project document and the project management plan as need . this process be perform 
 throughout the project . the input , tool and technique , and output of the process be depict in figure 11 - 16 . 
 figure 11 - 17 depict the data flow diagram for the process . 
 in 
 figure 11 - 16 . plan risk response : input , tool & technique , and output 
 figure 11 - 17 . plan risk response : datum flow diagram 
 effective and appropriate risk response can minimize individual threat , maximize individual opportunity , and 
 reduce overall project risk exposure . unsuitable risk response can have the converse effect . once risk have be 
 identify , analyze , and prioritize , plan should be develop by the nominate risk owner for address every 
 individual project risk the project team consider to be sufficiently important , either because of the threat it pose to the 
 project objective or the opportunity it offer . the project manager should also consider how to respond appropriately to 
 the current level of overall project risk . 
 risk response should be appropriate for the significance of the risk , cost - effective in meet the challenge , realistic 
 within the project context , agree upon by all party involve , and own by a responsible person . select the 
 optimal risk response from several option be often require . the strategy or mix of strategy most likely to be effective 
 should be select for each risk . structured decision - make technique may be use to choose the most appropriate 
 response . for large or complex project , it may be appropriate to use a mathematical optimization model or real option 
 analysis as a basis for a more robust economic analysis of alternative risk response strategy . 
 specific action be develop to implement the agree - upon risk response strategy , include primary and backup 
 strategy , as necessary . a contingency plan ( or fallback plan ) can be develop for implementation if the select 
 strategy turn out not to be fully effective or if an accept risk occur . secondary risk should also be identify . 
 secondary risk be risk that arise as a direct result of implement a risk response . a contingency reserve be often 
 allocate for time or cost . if develop , it may include identification of the condition that trigger its use . 
 ","the process of develop option , select strategy , and agree on action","['plan risk management', 'risk management plan']",be,"['plan risk response', 'implement risk response', 'strategy for threat']","['risk', 'threat', 'process', 'plan', 'develop']"
project management plan,"describe in section 4.2.3.1 . project management plan component include but be not limit to : 
  resource management plan . describe in section 9.1.3.1 . the resource management plan be use to help 
 determine how resource allocate to agree - upon risk response will be coordinate with other project resource . 
  risk management plan . describe in section 11.1.3.1 . risk management role and responsibility and risk 
 threshold be use in this process . 
  cost baseline . describe in section 7.3.3.1 . the cost baseline have information on the contingency fund that be 
 allocate to respond to risk . 
 ",resource management plan,"['project management plan', 'project management plan', 'project management plan', 'project management plan', 'project management plan update', 'project management plan', 'project management plan', 'project management plan update']",be,"['risk management plan', 'project management plan', 'project management plan']","['resource', 'risk', 'section', 'plan', 'include']"
project document,"project document that can be consider as input for this process include but be not limit to : 
  lesson learn register . describe in section 4.4.3.1 . lesson learn about effective risk response use in 
 early phase of the project be review to determine if similar response might be useful during the remainder 
 of the project . 
  project schedule . describe in section 6.5.3.2 . the schedule be use to determine how agree - upon risk 
 response will be schedule alongside other project activity . 
  project team assignment . describe in section 9.3.3.2 . project team assignment can show the resource 
 that can be allocate to agree - upon risk response . 
  resource calendar . describe in section 9.2.1.2 . resource calendar identify when potential resource be 
 available to be allocate to agree - upon risk response . 
  risk register . describe in section 11.2.3.1 . the risk register contain detail of individual project risk that 
 have be identify and prioritize , and for which risk response be require . the priority level for each risk 
 can help to guide the selection of appropriate risk response . for example , high - priority threat or opportunity 
 may require priority action and highly proactive response strategy . threat and opportunity in the low - priority 
 zone may not require proactive management action beyond be place in the risk register as part of the watch 
 list or add a contingency reserve . 
 the risk register identify the nominate risk owner for each risk . it may also contain preliminary risk response 
 identify early in the project risk management process . the risk register may provide other datum on identify 
 risk that can assist in plan risk response , include root cause , risk trigger and warning sign , risk 
 require response in the near term , and risk where a need for additional analysis have be identify . 
  risk report . describe in section 11.2.3.2 . the risk report present the current level of overall risk exposure of 
 the project that will inform selection of the risk response strategy . the risk report may also list individual project 
 risk in priority order and provide additional analysis of the distribution of individual project risk that may inform 
 risk response selection . 
  stakeholder register . describe in section 13.1.3.1 . the stakeholder register identify potential owner for 
 risk response . 
 ",lesson learn register,"['project document', 'project document', 'project document update', 'project document', 'project document update', 'project document', 'project document update', 'project document update', 'project document', 'project document update', 'project document', 'project document update']",be,"['plan risk response', 'identify risk', 'implement risk response']","['resource', 'schedule', 'prioritize', 'priority', 'risk']"
enterprise environmental factor,"the enterprise environmental factor that can influence the plan risk response process include but be not limit 
 to the risk appetite and threshold of key stakeholder . 
 ",risk appetite and threshold of key stakeholder,"['enterprise environmental factor', 'enterprise environmental factor', 'enterprise environmental factor', 'enterprise environmental factor']",influence,"['enterprise environmental factor', 'enterprise environmental factor', 'enterprise environmental factor']","['risk', 'stakeholder', 'enterprise', 'environmental', 'influence']"
organizational process asset,"the organizational process asset that can influence the plan risk response process include but be not limit to : 
  template for the risk management plan , risk register , and risk report ; 
  historical database ; and 
  lesson learn repository from similar project . 
 ",historical database,"['organizational process asset', 'organizational process asset', 'organizational process asset', 'organizational process asset', 'organizational process asset']",influence,"['organizational process asset', 'organizational process asset', 'organizational process asset']","['risk', 'process', 'asset', 'organizational', 'management']"
expert judgment,"describe in section 4.1.2.1 . expertise should be consider from individual or group with specialized knowledge 
 in the follow topic : 
  threat response strategy , 
  opportunity response strategy , 
  contingent response strategy , and 
  overall project risk response strategy . 
 expert input may be seek from individual with particular subject matter expertise relevant to a specific individual 
 project risk , for example , where specialist technical knowledge be require . 
 ",specialized knowledge,"['expert judgment', 'expert judgment', 'expert judgment', 'expert judgment', 'expert judgment']",be,"['strategy for overall project risk', 'strategy for threat', 'strategy for opportunity']","['expertise', 'expert', 'knowledge', 'specialist', 'specific']"
datum gathering,"data - gather technique that can be use for this process include but be not limit to interview ( see 
 section 5.2.2.2 ) . development of response to individual project risk and overall project risk may be undertake 
 during structured or semi - structured interview ( see section 5.2.2.2 ) with risk owner . other stakeholder may 
 also be interview if necessary . the interviewer should promote an environment of trust and confidentiality in the 
 interview setting to encourage honest and unbiased decision . 
 ",interview,"['datum gathering', 'datum gathering', 'datum gathering']",be,"['data analysis', 'data analysis', 'decision make']","['interviewer', 'interview', 'stakeholder', 'confidentiality', 'risk']"
interpersonal and team skill,"interpersonal and team skill that can be use for this process include but be not limit to facilitation ( see 
 section 4.1.2.3 ) . the use of facilitation improve the effectiveness of develop response to individual project 
 risk and overall project risk . a skilled facilitator can help risk owner understand the risk , identify and compare 
 alternative possible risk response strategy , choose an appropriate response strategy , and identify and overcome 
 source of bias . 
 ",facilitation,"['interpersonal and team skill', 'interpersonal and team skill', 'interpersonal and team skill', 'interpersonal and team skill']",be,"['interpersonal and team skill', 'interpersonal and team skill', 'interpersonal and team skill']","['facilitation', 'facilitator', 'risk', 'develop', 'skill']"
